OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
259,259,3489,3140100,0,97,97,19.2281456,23.38966951,67087,98,0,80,8
260,260,3482,3133800,0,100,100,42.30672028,30.69744718,147312,101,0,97,41
261,261,3488,3139200,0,100,100,39.94180046,19.40855104,139317,96,0,85,43
262,262,3498,3148200,0,98,98,0.864779874,6.368632054,3025,54,0,3,0
263,263,3482,3133800,0,100,100,45.27828834,33.50263536,157659,101,0,34,50
264,264,3492,3142800,0,100,100,44.10796105,26.9548342,154025,101,1,100,39
265,265,3494,3144600,0,100,100,7.158557527,15.88299879,25012,89,0,63,0
266,266,3484,3135600,0,100,100,30.36969001,25.76106675,105808,101,0,84,31
267,267,3494,3144600,0,100,100,37.25930166,32.06316691,130184,101,0,94,31
268,268,3489,3140100,0,100,100,41.98681571,21.7058648,146492,101,1,97,43
269,269,3497,3147300,0,100,100,42.80955104,25.62888817,149705,100,0,98,45
270,270,3491,3141900,0,97,97,33.09624749,22.88597557,115539,96,1,93,32
271,271,3491,3141900,0,100,100,36.59954168,22.9837485,127769,100,0,94,38
272,272,3489,3140100,0,97,97,29.84121525,20.80539451,104116,98,0,97,27
273,273,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
274,274,3499,3149100,0,100,100,35.62332095,24.19002566,124646,99,1,83,34
275,275,3492,3142800,0,100,100,20.95819015,28.89501822,73186,101,0,100,0
276,276,3484,3135600,0,100,100,8.47761194,20.6589026,29536,98,0,90,0
277,277,3496,3146400,0,100,100,28.13729977,20.62009318,98368,100,0,94,28
278,278,3393,3053700,0,100,100,9.551429413,19.16761252,32408,93,0,67,0
279,279,3491,3141900,0,81,81,2.814379834,8.576541623,9825,65,0,39,0
280,280,3491,3141900,0,100,100,28.04296763,23.66564792,97898,99,0,90,26
281,281,3493,3143700,0,78,78,0.641282565,4.823822192,2240,46,0,2,0
282,282,3491,3141900,0,100,100,36.65683185,32.3832981,127969,101,0,94,30
283,283,3489,3140100,0,100,100,53.15219261,18.7928182,185448,99,51,0,51
284,284,3491,3141900,0,100,100,46.36350616,26.26298542,161855,101,0,14,49
285,285,3493,3143700,0,100,100,46.51102204,19.87268975,162463,101,39,12,45
286,286,3492,3142800,0,100,100,30.54639175,28.6041809,106668,101,0,97,24
287,287,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
288,288,3491,3141900,0,100,100,28.49183615,25.36275075,99465,100,0,97,24
289,289,1582,1423800,0,100,100,29.85777497,27.9046258,47235,99,0,86,26
290,290,3493,3143700,0,100,100,34.07271686,29.6393994,119016,101,0,99,31
291,291,3484,3135600,0,98,98,29.60562572,17.74369545,103146,96,0,68,30
292,292,3488,3139200,0,100,100,37.54787844,32.76519364,130967,101,0,94,32
293,293,3492,3142800,0,100,100,37.47880871,32.25738339,130876,101,0,94,32
294,294,3489,3140100,0,100,100,5.593579822,17.54443808,19516,91,0,4,0
295,295,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
296,296,3484,3135600,0,100,100,37.90901263,32.14188978,132075,101,0,8,37
297,297,3486,3137400,0,100,100,20.16580608,24.14681954,70298,100,0,95,10
298,298,3493,3143700,0,100,100,7.733466934,17.16640953,27013,95,0,71,0
299,299,3491,3141900,0,100,100,45.40332283,18.68181096,158503,99,47,3,43
300,300,2357,2121300,0,100,100,62.52524395,23.53085651,147372,94,0,4,64
301,301,3492,3142800,0,100,100,31.1838488,24.02347058,108894,101,0,97,28
302,302,3486,3137400,0,58,58,0.589787722,4.484351463,2056,41,0,2,0
303,303,1300,1170000,0,100,100,59.30923077,25.4987434,77102,86,0,7,65
304,304,3486,3137400,0,100,100,30.57314974,23.94933243,106578,101,0,96,25
305,305,1300,1170000,0,100,100,59.30923077,25.4987434,77102,86,0,7,65
306,306,3483,3134700,0,100,100,64.94918174,23.666418,226218,100,93,3,67
307,307,3493,3143700,0,100,100,46.9782422,25.26000124,164095,101,0,99,47
308,308,3487,3138300,0,98,98,6.034987095,14.9198579,21044,91,0,60,0
309,309,1976,1778400,0,99,99,41.01771255,23.26582849,81051,97,0,11,47
310,310,3490,3141000,0,100,100,29.51747851,26.46361742,103016,101,0,74,23
311,311,3495,3145500,0,98,98,4.58397711,13.95430006,16021,88,0,61,0
312,312,3485,3136500,0,84,84,1.318507891,7.16736699,4595,59,0,1,0
313,313,3489,3140100,0,100,100,29.20206363,28.47950868,101886,99,0,99,26
314,314,3495,3145500,0,100,100,42.87982833,25.9778905,149865,101,0,96,42
315,315,3491,3141900,0,100,100,3.624176454,12.77089079,12652,92,0,40,0
316,316,3491,3141900,0,91,91,25.99112002,22.31001284,90735,83,0,78,26
317,317,3492,3142800,0,5,5,0.014604811,0.149699159,51,4,0,5,0
318,318,3495,3145500,0,100,100,32.12618026,28.92599879,112281,101,0,98,27
319,319,3491,3141900,0,100,100,26.07676883,32.56984838,91034,100,0,97,0
320,320,3492,3142800,0,100,100,25.47823597,33.45418533,88970,100,0,8,0
321,321,3488,3139200,0,90,90,4.760321101,12.15377896,16604,81,0,37,0
322,322,3492,3142800,0,100,100,22.57617411,26.84005453,78836,101,0,96,11
323,323,1383,1244700,0,100,100,18.20462762,25.16690619,25177,94,0,77,0
324,324,3490,3141000,0,86,86,3.735816619,10.51570558,13038,73,0,35,0
325,325,1686,1517400,0,100,100,13.91103203,20.38288094,23454,88,0,52,0
326,326,3492,3142800,0,85,85,2.330469645,7.59643308,8138,57,0,33,0
327,327,2036,1832400,0,100,100,27.62180747,24.01494287,56238,97,0,95,29
328,328,3487,3138300,0,89,89,3.215371379,10.42774937,11212,73,0,35,0
329,329,3491,3141900,0,100,100,40.5259238,27.58835396,141476,101,0,96,44
330,330,3433,3089700,0,80,80,3.150888436,9.746777008,10817,70,0,49,0
331,331,3493,3143700,0,92,92,1.610649871,7.854285681,5626,50,0,5,0
332,332,3492,3142800,0,100,100,30.50515464,26.99772437,106524,101,0,65,27
333,333,3491,3141900,0,100,100,28.67487826,21.14129728,100104,100,0,94,28
334,334,3492,3142800,0,94,94,1.58161512,10.72986192,5523,45,0,26,0
335,335,3486,3137400,0,0,0,0,0,0,1,0,0,0
