"","gbifID","class","order","family","genus","species","stateProvince","decimalLatitude","decimalLongitude","day","month","year"
"4280",3746856317,"Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis extenuata","Florida",28.62477,-82.51015,30,4,2014
"4281",1324191258,"Reptilia","Squamata","Viperidae","Crotalus","Crotalus horridus","Florida",29.81084,-82.314127,13,12,2015
"4282",1839291575,"Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus","Florida",30.0718,-84.65588,24,7,2013
"4283",1324191444,"Amphibia","Caudata","Proteidae","Necturus","Necturus beyeri","Florida",30.98839,-86.20455,10,6,2015
"4284",1324153317,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis equestris","Florida",25.42755,-80.50883,15,1,2014
"4285",1324191773,"Reptilia","Squamata","Phrynosomatidae","Sceloporus","Sceloporus woodi","Florida",29.481478,-81.811668,24,4,2016
"4286",1324139010,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.73865,-80.67291,23,1,2010
"4287",3746856319,"Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis alleghaniensis","Florida",29.6467,-82.1862,6,7,2013
"4288",1324144557,"Reptilia","Squamata","Chamaeleonidae","Furcifer","Furcifer oustaleti","Florida",25.42935,-80.50834,22,11,2010
"4289",1324150905,"Reptilia","Crocodylia","Crocodylidae","Crocodylus","Crocodylus acutus","Florida",24.62818,-82.87292,14,3,2013
"4290",1324150609,"Reptilia","Squamata","Pythonidae","Python","Python sebae","Florida",25.75231,-80.45231,8,1,2013
"4291",1324190061,"Reptilia","Squamata","Teiidae","Salvator","Salvator merianae","Florida",29.590867,-82.472995,16,4,2015
"4292",1324151282,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus","Florida",30.6364,-86.7029,9,5,2013
"4293",1324152230,"Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia","Florida",26.94245,-82.37181,6,9,2013
"4294",1324146945,"Reptilia","Squamata","Varanidae","Varanus","Varanus niloticus","Florida",27.0405,-82.23755,4,12,2010
"4295",1324191846,"Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis alleghaniensis","Florida",25.649561,-80.271235,31,5,2016
"4296",1324190004,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus","Florida",29.588549,-82.349111,7,4,2015
"4297",1324190453,"Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis guttatus","Florida",30.15495,-81.90726,11,5,2015
"4298",1324188559,"Reptilia","Squamata","Sphaerodactylidae","Sphaerodactylus","Sphaerodactylus argus","Florida",24.575263,-81.734741,23,4,2014
"4299",1324142033,"Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis spiloides","Florida",30.794,-85.2232,23,9,2010
"4300",1324150791,"Reptilia","Squamata","Varanidae","Varanus","Varanus exanthematicus","Florida",26.97614,-80.20725,20,2,2013
"4301",1324151216,"Reptilia","Squamata","Viperidae","Crotalus","Crotalus adamanteus","Florida",25.91642,-81.26211,20,4,2013
"4302",1324189205,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.95677,-81.4894,12,1,2012
"4303",1324189136,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76094,-80.58057,27,6,2014
"4304",1324140919,"Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus terrestris","Florida",28.49669,-81.31408,7,8,2010
"4305",1324150044,"Reptilia","Squamata","Boidae","Boa","Boa constrictor","Florida",24.55556,-81.75944,11,10,2012
"4306",1324147305,"Reptilia","Squamata","Gekkonidae","Gekko","Gekko gecko","Florida",25.08956,-80.44458,10,10,2011
"4307",1324190806,"Reptilia","Squamata","Colubridae","Liodytes","Liodytes rigida","Florida",30.40073,-85.937717,9,5,2015
"4308",1839291645,"Reptilia","Squamata","Colubridae","Nerodia","Nerodia clarkii","Florida",27.71065,-82.68658,12,7,2011
"4309",1324189177,"Reptilia","Squamata","Teiidae","Salvator","Salvator merianae","Florida",26.16598,-81.24353,15,7,2014
"4310",1324191716,"Reptilia","Squamata","Colubridae","Tantilla","Tantilla relicta","Florida",29.00682,-82.52506,24,3,2016
"4311",1324153012,"Reptilia","Squamata","Iguanidae","Iguana","Iguana iguana","Florida",25.44174,-80.49607,21,11,2013
"4312",1324139316,"Reptilia","Testudines","Kinosternidae","Kinosternon","Kinosternon baurii","Florida",29.87355,-82.45158,24,4,2010
"4313",1324148299,"Reptilia","Testudines","Geoemydidae","Rhinoclemmys","Rhinoclemmys pulcherrima","Florida",25.60903,-80.40233,30,4,2012
"4314",1324147868,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",26.63296,-81.69395,14,1,2012
"4315",1324188645,"Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo calyptratus","Florida",25.406943,-80.522007,30,5,2014
"4316",1324189159,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.63958,-80.57627,3,7,2014
"4317",1837125128,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes cinereus","Florida",30.35111,-82.00936,29,5,2012
"4318",1324190427,"Reptilia","Squamata","Colubridae","Coluber","Coluber constrictor","Florida",28.13034,-82.68421,3,6,2015
"4319",1324189440,"Reptilia","Squamata","Teiidae","Ameiva","Ameiva ameiva","Florida",26.20777,-80.10713,22,8,2014
"4320",1324189000,"Reptilia","Squamata","Varanidae","Varanus","Varanus niloticus","Florida",26.68282,-80.29142,11,6,2013
"4321",1324189927,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis sagrei","Florida",29.10058,-83.061,19,10,2014
"4322",1324147370,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis sagrei","Florida",26.09694,-80.11944,11,2,2011
"4323",1324144554,"Reptilia","Squamata","Chamaeleonidae","Furcifer","Furcifer oustaleti","Florida",25.42931,-80.50699,30,11,2010
"4324",1324152598,"Reptilia","Squamata","Pythonidae","Python","Python regius","Florida",26.70432,-80.4126,14,10,2013
"4325",1324149324,"Reptilia","Squamata","Iguanidae","Ctenosaura","Ctenosaura similis","Florida",26.02754,-80.20531,26,7,2012
"4326",1324153653,"Reptilia","Squamata","Iguanidae","Iguana","Iguana iguana","Florida",26.06004,-80.16577,20,2,2014
"4327",1324152355,"Reptilia","Testudines","Emydidae","Trachemys","Trachemys scripta","Florida",28.71442,-81.45723,25,7,2012
"4328",1324146808,"Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis sirtalis","Florida",25.617334,-80.575493,19,8,2010
"4329",1324152938,"Reptilia","Testudines","Emydidae","Graptemys","Graptemys pseudogeographica","Florida",25.757,-80.3754,20,11,2013
"4330",1324147411,"Reptilia","Squamata","Chamaeleonidae","Furcifer","Furcifer oustaleti","Florida",25.42931,-80.50948,30,11,2011
