OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
181,181,4298,3868200,0,80,80,4.065379246,13.88427398,17473,51,0,6,0
182,182,4297,3867300,0,80,80,4.179194787,14.10903731,17958,50,0,23,0
183,183,4298,3868200,0,80,80,4.065379246,13.88427398,17473,51,0,6,0
184,184,4289,3860100,0,80,80,4.153415715,14.09555913,17814,52,0,6,0
185,185,4306,3875400,0,80,80,3.30817464,12.61469491,14245,48,0,10,0
186,186,4298,3868200,0,80,80,4.065379246,13.88427398,17473,51,0,6,0
187,187,4301,3870900,0,80,80,3.710764938,13.28901972,15960,50,0,6,0
188,188,4298,3868200,0,97,97,9.500930665,24.60611296,40835,65,0,38,0
189,189,4592,4132800,0,97,97,52.30836237,35.14139359,240200,88,0,17,65
190,190,4295,3865500,0,97,97,29.98486612,31.74800376,128785,85,0,8,25
191,191,4640,4176000,0,100,100,31.82262931,31.54617245,147657,92,0,100,21
192,192,4644,4179600,0,100,100,58.61498708,29.2440266,272208,93,0,9,63
193,193,4636,4172400,0,100,100,67.90746333,28.6015338,314819,91,0,11,76
194,194,4667,4200300,0,100,100,82.2346261,18.20392593,383789,82,99,13,87
195,195,3995,3595500,0,90,90,28.21226533,28.41762572,112708,80,0,90,20
196,196,4310,3879000,0,93,93,3.736194896,16.47804596,16103,51,0,20,0
197,197,2192,1972800,0,91,91,8.953923358,21.31905211,19627,58,0,9,0
198,198,4323,3890700,0,68,68,0.404811474,3.986084397,1750,22,0,26,0
199,199,4310,3879000,0,93,93,3.736194896,16.47804596,16103,51,0,20,0
200,200,4310,3879000,0,93,93,3.736194896,16.47804596,16103,51,0,20,0
201,201,4310,3879000,0,93,93,3.736194896,16.47804596,16103,51,0,20,0
202,202,4494,4044600,0,89,89,32.21851357,26.50566699,144790,80,0,89,28
203,203,4519,4067100,0,92,92,14.91524674,24.7550091,67402,83,0,5,0
204,204,4696,4226400,0,100,100,64.90630324,34.89189551,304800,91,0,29,79
205,205,4318,3886200,0,87,87,2.137332098,9.800884275,9229,59,0,12,0
206,206,4648,4183200,0,100,100,41.99870912,39.72696724,195210,92,0,25,41
207,207,2782,2503800,0,21,21,0.494967649,2.18693506,1377,15,0,14,0
208,208,4600,4140000,0,93,93,49.89152174,29.69886131,229501,78,0,91,62
209,209,4367,3930300,0,92,92,5.336844516,15.02911838,23306,81,0,9,0
210,210,555,499500,0,84,84,2.299099099,11.19784001,1276,16,0,28,0
211,211,555,499500,0,84,84,2.299099099,11.19784001,1276,16,0,28,0
212,212,4296,3866400,0,94,94,14.66247672,27.76568203,62990,80,0,19,0
213,213,4665,4198500,0,100,100,55.74919614,31.33432267,260070,92,0,9,53
214,214,555,499500,0,84,84,2.299099099,11.19784001,1276,16,0,28,0
215,215,4636,4172400,0,100,100,72.80457291,31.65112938,337522,92,0,9,87
216,216,3669,3302100,0,90,90,2.00926683,10.97939899,7372,59,0,17,0
217,217,555,499500,0,84,84,2.299099099,11.19784001,1276,16,0,28,0
218,218,2157,1941300,0,91,91,8.973110802,21.3653609,19355,58,0,9,0
219,219,4619,4157100,0,100,100,79.91015371,20.48576414,369105,83,95,14,84
220,220,4210,3789000,0,97,97,6.747980998,21.86086215,28409,70,0,8,0
221,221,4641,4176900,0,100,100,55.60137901,38.19971151,258046,92,0,29,71
222,222,4344,3909600,0,89,89,5.561233886,14.1422635,24158,81,0,4,0
223,223,4210,3789000,0,97,97,6.747980998,21.86086215,28409,70,0,8,0
224,224,4301,3870900,0,93,93,35.02813299,34.23026637,150656,70,0,9,29
225,225,4210,3789000,0,97,97,6.747980998,21.86086215,28409,70,0,8,0
226,226,4477,4029300,0,92,92,34.50145187,32.18611848,154463,88,0,6,31
227,227,2038,1834200,0,92,92,14.6609421,28.02251575,29879,78,0,8,0
228,228,2075,1867500,0,85,85,5.901204819,18.35952525,12245,59,0,7,0
229,229,4642,4177800,0,100,100,54.14433434,28.72673289,251338,92,0,29,57
230,230,4539,4085100,0,91,91,11.91099361,20.23552682,54064,87,0,82,0
231,231,4295,3865500,0,80,80,2.024447031,9.704078245,8695,49,0,12,0
232,232,4294,3864600,0,96,96,43.15486726,34.62318286,185307,70,0,9,58
233,233,4180,3762000,0,96,96,13.55909091,27.01250997,56677,86,0,40,0
234,234,4430,3987000,0,97,97,3.693227991,11.5153063,16361,73,0,4,0
235,235,4408,3967200,0,94,94,15.59255898,21.19713578,68732,89,0,5,9
236,236,4350,3915000,0,83,83,9.111494253,14.44021305,39635,76,0,76,0
237,237,4304,3873600,0,92,92,4.714451673,14.61888881,20291,71,0,5,0
238,238,4324,3891600,0,85,85,9.213228492,21.04901225,39838,72,0,5,0
239,239,1665,1498500,0,65,65,2.957357357,6.617111877,4924,33,0,19,0
240,240,3744,3369600,0,82,82,3.870726496,10.7753556,14492,49,0,13,0
241,241,4305,3874500,0,96,96,27.66573751,35.10079065,119101,82,0,16,0
242,242,1975,1777500,0,96,96,38.22329114,27.76690069,75491,91,0,9,36
243,243,4292,3862800,0,86,86,3.860904007,14.69294262,16571,64,0,9,0
244,244,4298,3868200,0,96,96,20.88134016,34.20054004,89748,82,0,19,0
245,245,4341,3906900,0,74,74,4.935268371,8.819294809,21424,55,0,37,0
246,246,4415,3973500,0,89,89,15.73544734,24.85179173,69472,82,0,89,0
247,247,4481,4032900,0,91,91,39.07498326,30.52401386,175095,85,0,8,39
248,248,4375,3937500,0,96,96,14.17622857,24.77593822,62021,91,0,15,0
249,249,4472,4024800,0,90,90,24.11918605,32.25689826,107861,86,0,5,0
250,250,4411,3969900,0,94,94,15.50396735,21.2080553,68388,89,0,5,8
251,251,4358,3922200,0,75,75,5.391234511,8.224170284,23495,44,0,39,0
252,252,2929,2636100,0,95,95,39.48412427,37.50202686,115649,67,0,16,35
253,253,4715,4243500,0,99,99,77.15100742,18.09004509,363767,86,94,25,78
254,254,4417,3975300,0,98,98,24.19515508,32.24389094,106870,96,0,98,11
255,255,4289,3860100,0,94,94,4.006295174,15.28730701,17183,56,0,25,0
256,256,4348,3913200,0,80,80,8.181462741,11.85687634,35573,71,0,4,0
257,257,4368,3931200,0,87,87,5.026556777,9.636513372,21956,63,0,33,0
258,258,4430,3987000,0,97,97,3.693227991,11.5153063,16361,73,0,4,0
259,259,4425,3982500,0,95,95,29.64248588,35.69461943,131168,92,0,45,12
260,260,4368,3931200,0,92,92,11.32211538,19.4801356,49455,87,0,4,0
261,261,4383,3944700,0,76,76,1.447182295,6.257380269,6343,50,0,16,0
262,262,4376,3938400,0,89,89,15.66064899,25.09507089,68531,76,0,11,0
263,263,4418,3976200,0,98,98,6.840878225,18.32781529,30223,85,0,15,0
264,264,4356,3920400,0,72,72,6.926538108,10.40222406,30172,62,0,47,0
265,265,4305,3874500,0,93,93,16.18281069,26.75214723,69667,90,0,5,0
266,266,4548,4093200,0,92,92,16.52352682,24.76197365,75149,87,0,6,0
267,267,4387,3948300,0,95,95,8.262594028,19.62569439,36248,91,0,44,0
268,268,4362,3925800,0,90,90,6.935350757,12.90836189,30252,80,0,50,0
269,269,4382,3943800,0,85,85,11.26905523,15.5327115,49381,79,0,81,6
270,270,4356,3920400,0,76,76,7.021579431,9.51553719,30586,55,0,4,0
271,271,4412,3970800,0,81,81,7.573662738,14.10009114,33415,75,0,63,0
272,272,4307,3876300,0,84,84,4.084745763,9.566892885,17593,52,0,4,0
273,273,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
274,274,4368,3931200,0,82,82,8.329212454,12.07241763,36382,70,0,54,0
275,275,4563,4106700,0,91,91,14.15253123,26.89572008,64578,83,0,6,0
276,276,4370,3933000,0,94,94,33.43638444,36.91200128,146117,86,0,12,0
277,277,4383,3944700,0,95,95,4.380104951,11.67034014,19198,79,0,20,0
278,278,4260,3834000,0,89,89,25.82089202,28.3703473,109997,81,0,43,21
279,279,4644,4179600,0,99,99,60.17140396,33.62639763,279436,91,0,10,71
280,280,4388,3949200,0,96,96,15.38331814,21.20639802,67502,93,0,95,10
281,281,4318,3886200,0,92,92,11.04284391,23.15355968,47683,77,0,15,0
282,282,4387,3948300,0,95,95,9.627080009,20.38886773,42234,90,0,91,0
283,283,4375,3937500,0,49,49,3.500114286,6.212094194,15313,33,0,31,0
284,284,4499,4049100,0,81,81,5.953989776,14.38609232,26787,77,0,74,0
285,285,4335,3901500,0,85,85,6.895040369,10.06469549,29890,66,0,31,0
286,286,4495,4045500,0,91,91,20.65806452,23.98164595,92858,86,0,7,14
287,287,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
288,288,4344,3909600,0,76,76,8.128683241,12.62275878,35311,69,0,63,0
289,289,1934,1740600,0,93,93,11.32936918,24.8868296,21911,61,0,19,0
290,290,4300,3870000,0,96,96,10.57511628,24.80462606,45473,86,0,47,0
291,291,4417,3975300,0,86,86,9.733076749,14.88233449,42991,76,0,76,0
292,292,4393,3953700,0,95,95,11.15638516,21.11350291,49010,90,0,89,0
293,293,4378,3940200,0,95,95,8.245774326,19.55039141,36100,90,0,44,0
294,294,4322,3889800,0,87,87,1.521517816,9.083301301,6576,47,0,35,0
295,295,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
296,296,4354,3918600,0,91,91,7.499310978,15.91325314,32652,87,0,3,0
297,297,4388,3949200,0,89,89,9.13810392,22.39471624,40098,81,0,8,0
298,298,4577,4119300,0,98,98,39.27179375,32.9549513,179747,92,0,9,39
299,299,4384,3945600,0,27,27,0.481523723,2.626650655,2111,19,0,22,0
300,300,2871,2583900,0,86,86,2.489028213,11.27456341,7146,50,0,18,0
301,301,4418,3976200,0,83,83,7.066093255,13.94562535,31218,78,0,4,0
302,302,4398,3958200,0,88,88,21.05479764,28.54699338,92599,85,0,5,0
303,303,1665,1498500,0,65,65,2.957357357,6.617111877,4924,33,0,19,0
304,304,4633,4169700,0,89,89,24.78890568,25.6888669,114847,83,0,86,17
305,305,1665,1498500,0,65,65,2.957357357,6.617111877,4924,33,0,19,0
306,306,4444,3999600,0,69,69,5.437218722,9.530441587,24163,54,0,50,0
307,307,4387,3948300,0,85,85,5.853658537,10.54230516,25680,70,0,38,0
308,308,4296,3866400,0,90,90,3.695996276,12.81463399,15878,66,0,6,0
309,309,2615,2353500,0,89,89,6.979732314,17.1966461,18252,73,0,7,0
310,310,4701,4230900,0,98,98,34.01531589,26.37200085,159906,90,0,97,39
