OBJECTID,gbifID,Shape_Length,Shape_Area
531,1324147756,0.060631721,0.000290725
532,1324147762,0.06063116,0.00029072
533,1324147765,0.0597086,0.000282639
534,1324147771,0.05970859,0.000282639
535,1324147775,0.060803598,0.000292224
536,1324147777,0.059608337,0.000281758
537,1324147780,0.060079969,0.0002859
538,1324147781,0.06039818,0.000288685
539,1324147783,0.059772202,0.000283199
540,1324147787,0.0597086,0.000282639
541,1324147788,0.060330497,0.000288093
542,1324147790,0.055929059,0.000136713
543,1324147791,0.059708574,0.000282639
544,1324147794,0.05970829,0.000282637
545,1324147798,0.060633017,0.000290736
546,1324147800,0.059619672,0.000281857
547,1324147802,0.059957634,0.000284827
548,1324147803,0.05970847,0.000282638
549,1324147805,0.059708595,0.000282639
550,1324147806,0.059778736,0.000283256
551,1324147807,0.060898956,0.000293054
552,1324147808,0.059708603,0.000282639
553,1324147809,0.059957561,0.000284826
554,1324147810,0.059957222,0.000284823
555,1324147811,0.060856292,0.000292683
556,1324147812,0.059772317,0.0002832
557,1324147813,0.059871556,0.000284071
558,1324147814,0.059708568,0.000282639
559,1324147816,0.059776925,0.00028324
560,1324147817,0.059604532,0.000281724
561,1324147820,0.059993889,0.000285145
562,1324147821,0.085508703,0.000251609
563,1324147822,0.059787659,0.000283334
564,1324147824,0.059605086,0.000281729
565,1324147827,0.059957196,0.000284823
566,1324147828,0.059945899,0.000284724
567,1324147829,0.059643412,0.000282066
568,1324147830,0.072456727,0.000277157
569,1324147832,0.059625267,0.000281907
570,1324147836,0.060336292,0.000288144
571,1324147840,0.059602457,0.000281706
572,1324147841,0.059603213,0.000281712
573,1324147843,0.059957561,0.000284826
574,1324147846,0.059957391,0.000284825
575,1324147847,0.059607108,0.000281747
576,1324147848,0.060454909,0.000289181
577,1324147851,0.059708574,0.000282639
578,1324147852,0.059756986,0.000283065
579,1324147853,0.05970006,0.000282564
580,1324147854,0.061119355,0.0002044
581,1324147855,0.061333296,0.00027767
582,1324147856,0.060286222,0.000287706
583,1324147858,0.059635918,0.000282
584,1324147859,0.059907081,0.000284383
585,1324147860,0.060458629,0.000289213
586,1324147861,0.060458629,0.000289213
587,1324147864,0.054950467,4.73517E-05
588,1324147865,0.059778628,0.000283255
589,1324147866,0.059638099,0.000282019
590,1324147867,0.0597086,0.000282639
591,1324147868,0.05994492,0.000284715
592,1324147870,0.059703433,0.000282594
593,1324147871,0.060507462,0.00028964
594,1324147873,0.058099198,0.000249799
595,1324147874,0.059949441,0.000284755
596,1324147875,0.061212459,0.000295781
597,1324147876,0.060073546,0.000285843
598,1324147877,0.059708627,0.00028264
599,1324147880,0.038054306,4.3367E-05
600,1324147881,0.059773001,0.000283206
601,1324147882,0.090246231,0.000170281
602,1324147883,0.090246231,0.000170281
603,1324147885,0.060305912,0.000287878
604,1324147886,0.060436889,0.000289023
605,1324147890,0.059619836,0.000281859
606,1324147891,0.059779984,0.000283267
607,1324147892,0.060319816,0.000288
608,1324147894,0.059634532,0.000281744
609,1324147899,0.059708332,0.000282637
610,1324147903,0.06029079,0.000287746
611,1324147906,0.059512866,0.000133064
612,1324147909,0.064473478,0.000156084
613,1324147910,0.032420606,3.6755E-05
614,1324147911,0.059512866,0.000133064
615,1324147915,0.060254949,0.000287432
616,1324147916,0.060110444,0.000286167
617,1324147917,0.061117796,0.000294958
618,1324147918,0.05068396,0.000144794
619,1324147919,0.104159352,0.000187779
620,1324147921,0.061117148,0.000294953
621,1324147922,0.090246231,0.000170281
622,1324147923,0.05068396,0.000144794
623,1324147927,0.05068396,0.000144794
624,1324147931,0.070019145,0.000221047
625,1324147933,0.032420606,3.6755E-05
626,1324147934,0.104159352,0.000187779
627,1324147936,0.050992578,0.000148135
628,1324147937,0.06761871,0.000137456
629,1324147938,0.086762399,0.000175476
630,1324147939,0.061236272,0.000295988
631,1324147940,0.032420606,3.6755E-05
632,1324147941,0.047785343,0.000108903
633,1324147943,0.032420606,3.6755E-05
634,1324147945,0.05068396,0.000144794
635,1324147947,0.052769647,9.9013E-05
636,1324147948,0.032420606,3.6755E-05
637,1324147949,0.100914089,0.00015737
638,1324148055,0.060667373,0.000291036
639,1324148057,0.060667373,0.000291036
640,1324148062,0.060919648,0.000293234
641,1324148095,0.05068396,0.000144794
642,1324148104,0.059512866,0.000133064
643,1324148107,0.061333296,0.00027767
644,1324148109,0.059512866,0.000133064
645,1324148112,0.088947337,0.000127034
646,1324148114,0.059512866,0.000133064
647,1324148118,0.060855828,0.000292679
648,1324148125,0.060516743,0.000289721
649,1324148128,0.059624263,0.000281898
650,1324148131,0.060486835,8.98505E-05
651,1324148165,0.059708627,0.00028264
652,1324148176,0.059623833,0.000281894
653,1324148177,0.059624301,0.000281898
654,1324148182,0.059612646,0.000281795
655,1324148185,0.089200406,0.000178731
656,1324148189,0.060290517,0.000287743
657,1324148191,0.059606076,0.000281738
658,1324148195,0.059770787,0.000283186
659,1324148196,0.059708627,0.00028264
660,1324148201,0.059708311,0.000282637
661,1324148202,0.0595852,0.000281554
662,1324148203,0.059824676,0.00028366
663,1324148205,0.059708311,0.000282637
664,1324148206,0.059708611,0.00028264
665,1324148208,0.059186114,0.000250806
666,1324148210,0.059708336,0.000282637
667,1324148213,0.06084833,0.000292613
668,1324148216,0.093636227,0.000111595
669,1324148217,0.059619841,0.000281859
670,1324148218,0.059708338,0.000282637
671,1324148220,0.059708566,0.000282639
672,1324148251,0.06111483,0.000294932
673,1324148258,0.059654466,0.000282163
674,1324148264,0.060403955,0.000288735
675,1324148266,0.06105472,0.00029441
676,1324148267,0.061149558,0.000295234
677,1324148268,0.060401121,0.000288711
678,1324148269,0.061123288,0.000295006
679,1324148273,0.06033947,0.000288172
680,1324148276,0.059708608,0.00028264
681,1324148281,0.060108671,0.000286151
682,1324148282,0.059708497,0.000282639
683,1324148285,0.059716898,0.000282712
684,1324148290,0.059814556,0.000283571
685,1324148291,0.059708317,0.000282637
686,1324148292,0.059778075,0.00028325
687,1324148293,0.059708327,0.000282637
688,1324148296,0.063322128,0.000275464
689,1324148301,0.059708322,0.000282637
690,1324148332,0.060449713,0.000289135
691,1324148335,0.059885966,0.000284198
692,1324148344,0.060826968,0.000292427
693,1324148355,0.061158844,0.000295315
694,1324148365,0.060289022,0.00028773
695,1324148368,0.059708627,0.00028264
696,1324148372,0.060525672,0.000289799
697,1324148373,0.059708608,0.00028264
698,1324148375,0.059708574,0.000282639
699,1324148381,0.060018158,0.000222001
700,1324148385,0.061151024,0.000295247
701,1324148387,0.227088147,0.000196733
702,1324148390,0.060791171,0.000292115
703,1324148395,0.059812315,0.000283551
704,1324148398,0.061014668,0.000294061
705,1324148403,0.060065542,0.000285773
706,1324148406,0.060829234,0.000270349
707,1324148407,0.059784566,0.000283307
708,1324148408,0.059605141,0.000281729
709,1324148413,0.059805354,0.00028349
710,1324148414,0.059608215,0.000281756
711,1324148417,0.060299723,0.000287824
712,1324148418,0.059821944,0.000283636
713,1324148421,0.059794994,0.000283399
714,1324148424,0.060090638,0.000282887
715,1324148425,0.059804627,0.000283483
716,1324148439,0.059708619,0.00028264
717,1324148453,0.059933198,0.000284612
718,1324148455,0.06002795,0.000285443
719,1324148456,0.059957932,0.000284829
720,1324148457,0.059708619,0.00028264
721,1324148459,0.059604817,0.000281727
722,1324148464,0.064203056,0.000274788
723,1324148465,0.090607409,0.000205566
724,1324148468,0.059708296,0.000282637
725,1324148469,0.059786084,0.00028332
726,1324148471,0.060077382,0.000285877
727,1324148477,0.060553233,0.00029004
728,1324148478,0.08644994,0.000138822
729,1324148479,0.059677783,0.000282368
